priority,status,asset_path,upload_to,type,owner,example_page,source_files,notes
P1,Missing,/assets/docs/admission-brochure.pdf,public/assets/docs/admission-brochure.pdf,PDF,Admin,/admission-brochure/,src/pages/admission-brochure/index.astro,
P1,Missing,/assets/docs/hostel-brochure.pdf,public/assets/docs/hostel-brochure.pdf,PDF,Admin,/admission-brochure/,src/pages/admission-brochure/index.astro,
P1,Missing,/assets/documents/aids-brochure.pdf,public/assets/documents/aids-brochure.pdf,PDF,Dept Admin,/departments/aids/brochure/,src/pages/departments/aids/brochure/index.astro,
P1,Missing,/assets/documents/aiml-brochure.pdf,public/assets/documents/aiml-brochure.pdf,PDF,Dept Admin,/departments/aiml/brochure/,src/pages/departments/aiml/brochure/index.astro,
P1,Missing,/assets/documents/cic-brochure.pdf,public/assets/documents/cic-brochure.pdf,PDF,Dept Admin,/departments/cic/brochure/,src/pages/departments/cic/brochure/index.astro,
P1,Missing,/assets/documents/civil-brochure.pdf,public/assets/documents/civil-brochure.pdf,PDF,Dept Admin,/departments/civil/brochure/,src/pages/departments/civil/brochure/index.astro,
P1,Missing,/assets/documents/csbs-brochure.pdf,public/assets/documents/csbs-brochure.pdf,PDF,Dept Admin,/departments/csbs/brochure/,src/pages/departments/csbs/brochure/index.astro,
P1,Missing,/assets/documents/csd-brochure.pdf,public/assets/documents/csd-brochure.pdf,PDF,Dept Admin,/departments/csd/brochure/,src/pages/departments/csd/brochure/index.astro,
P1,Missing,/assets/documents/cse-brochure.pdf,public/assets/documents/cse-brochure.pdf,PDF,Dept Admin,/departments/cse/brochure/,src/pages/departments/cse/brochure/index.astro,
P1,Missing,/assets/documents/csit-brochure.pdf,public/assets/documents/csit-brochure.pdf,PDF,Dept Admin,/departments/csit/brochure/,src/pages/departments/csit/brochure/index.astro,
P1,Missing,/assets/documents/ece-brochure.pdf,public/assets/documents/ece-brochure.pdf,PDF,Dept Admin,/departments/ece/brochure/,src/pages/departments/ece/brochure/index.astro,
P1,Missing,/assets/documents/eee-brochure.pdf,public/assets/documents/eee-brochure.pdf,PDF,Dept Admin,/departments/eee/brochure/,src/pages/departments/eee/brochure/index.astro,
P1,Missing,/assets/documents/it-brochure.pdf,public/assets/documents/it-brochure.pdf,PDF,Dept Admin,/departments/it/brochure/,src/pages/departments/it/brochure/index.astro,
P1,Missing,/assets/documents/mechanical-brochure.pdf,public/assets/documents/mechanical-brochure.pdf,PDF,Dept Admin,/departments/mechanical/brochure/,src/pages/departments/mechanical/brochure/index.astro,
P1,Missing,/assets/images/admission/PLACEHOLDER.jpg,public/assets/images/admission/PLACEHOLDER.jpg,Image,Marketing/Admin,/admission-brochure/,src/pages/admission-brochure/index.astro,
P1,Missing,/assets/images/clubs/PLACEHOLDER.jpg,public/assets/images/clubs/PLACEHOLDER.jpg,Image,Marketing/Admin,/student-clubs/,src/pages/student-clubs/index.astro,
P1,Missing,/assets/images/faculty/aids/PLACEHOLDER.jpg,public/assets/images/faculty/aids/PLACEHOLDER.jpg,Image,Raghu,/departments/aids/,src/pages/departments/aids/index.astro,
P1,Missing,/assets/images/faculty/aiml/PLACEHOLDER.jpg,public/assets/images/faculty/aiml/PLACEHOLDER.jpg,Image,Raghu,/departments/aiml/,src/pages/departments/aiml/index.astro,
P1,Missing,/assets/images/faculty/cic/PLACEHOLDER.jpg,public/assets/images/faculty/cic/PLACEHOLDER.jpg,Image,Raghu,/departments/cic/,src/pages/departments/cic/index.astro,
P1,Missing,/assets/images/faculty/csbs/PLACEHOLDER.jpg,public/assets/images/faculty/csbs/PLACEHOLDER.jpg,Image,Raghu,/departments/csbs/,src/pages/departments/csbs/index.astro,
P1,Missing,/assets/images/faculty/csd/PLACEHOLDER.jpg,public/assets/images/faculty/csd/PLACEHOLDER.jpg,Image,Raghu,/departments/csd/,src/pages/departments/csd/index.astro,
P1,Missing,/assets/images/faculty/cse/952.jpg,public/assets/images/faculty/cse/952.jpg,Image,Raghu,/departments/cse/faculty/,src/pages/departments/cse/faculty/index.astro,
P1,Missing,/assets/images/faculty/cse/PLACEHOLDER.jpg,public/assets/images/faculty/cse/PLACEHOLDER.jpg,Image,Raghu,/departments/cse/committees/,src/pages/departments/cse/committees/index.astro,Replace PLACEHOLDER with real photo
P1,Missing,/assets/images/faculty/csit/PLACEHOLDER.jpg,public/assets/images/faculty/csit/PLACEHOLDER.jpg,Image,Raghu,/departments/csit/,src/pages/departments/csit/index.astro,
P1,Missing,/assets/images/faculty/ece/PLACEHOLDER.jpg,public/assets/images/faculty/ece/PLACEHOLDER.jpg,Image,Raghu,/departments/ece/committees/,src/pages/departments/ece/committees/index.astro,Replace PLACEHOLDER with real photo
P1,Missing,/assets/images/faculty/eee/assoc-1.jpg,public/assets/images/faculty/eee/assoc-1.jpg,Image,Raghu,/departments/eee/committees/,src/pages/departments/eee/committees/index.astro,Committee page uses legacy name — prefer IRINS numeric ID + rename file
P1,Missing,/assets/images/faculty/eee/assoc-2.jpg,public/assets/images/faculty/eee/assoc-2.jpg,Image,Raghu,/departments/eee/committees/,src/pages/departments/eee/committees/index.astro,Committee page uses legacy name — prefer IRINS numeric ID + rename file
P1,Missing,/assets/images/faculty/eee/assoc-3.jpg,public/assets/images/faculty/eee/assoc-3.jpg,Image,Raghu,/departments/eee/committees/,src/pages/departments/eee/committees/index.astro,Committee page uses legacy name — prefer IRINS numeric ID + rename file
P1,Missing,/assets/images/faculty/eee/bos-1.jpg,public/assets/images/faculty/eee/bos-1.jpg,Image,Raghu,/departments/eee/committees/,src/pages/departments/eee/committees/index.astro,Committee page uses legacy name — prefer IRINS numeric ID + rename file
P1,Missing,/assets/images/faculty/eee/bos-2.jpg,public/assets/images/faculty/eee/bos-2.jpg,Image,Raghu,/departments/eee/committees/,src/pages/departments/eee/committees/index.astro,Committee page uses legacy name — prefer IRINS numeric ID + rename file
P1,Missing,/assets/images/faculty/eee/bos-3.jpg,public/assets/images/faculty/eee/bos-3.jpg,Image,Raghu,/departments/eee/committees/,src/pages/departments/eee/committees/index.astro,Committee page uses legacy name — prefer IRINS numeric ID + rename file
P1,Missing,/assets/images/faculty/eee/hod.jpg,public/assets/images/faculty/eee/hod.jpg,Image,Raghu,/departments/eee/committees/,src/pages/departments/eee/committees/index.astro,Committee page uses legacy name — prefer IRINS numeric ID + rename file
P1,Missing,/assets/images/faculty/eee/prof-1.jpg,public/assets/images/faculty/eee/prof-1.jpg,Image,Raghu,/departments/eee/committees/,src/pages/departments/eee/committees/index.astro,Committee page uses legacy name — prefer IRINS numeric ID + rename file
P1,Missing,/assets/images/faculty/eee/prof-2.jpg,public/assets/images/faculty/eee/prof-2.jpg,Image,Raghu,/departments/eee/committees/,src/pages/departments/eee/committees/index.astro,Committee page uses legacy name — prefer IRINS numeric ID + rename file
P1,Missing,/assets/images/faculty/eee/prof-3.jpg,public/assets/images/faculty/eee/prof-3.jpg,Image,Raghu,/departments/eee/committees/,src/pages/departments/eee/committees/index.astro,Committee page uses legacy name — prefer IRINS numeric ID + rename file
P1,Missing,/assets/images/faculty/eee/prof-4.jpg,public/assets/images/faculty/eee/prof-4.jpg,Image,Raghu,/departments/eee/committees/,src/pages/departments/eee/committees/index.astro,Committee page uses legacy name — prefer IRINS numeric ID + rename file
P1,Missing,/assets/images/faculty/it/1016.jpg,public/assets/images/faculty/it/1016.jpg,Image,Raghu,/departments/it/faculty/,src/pages/departments/it/faculty/index.astro,
P1,Missing,/assets/images/faculty/it/PLACEHOLDER.jpg,public/assets/images/faculty/it/PLACEHOLDER.jpg,Image,Raghu,/departments/it/committees/,src/pages/departments/it/committees/index.astro,Replace PLACEHOLDER with real photo
P1,Missing,/assets/images/faculty/mechanical/assoc-1.jpg,public/assets/images/faculty/mechanical/assoc-1.jpg,Image,Raghu,/departments/mechanical/committees/,src/pages/departments/mechanical/committees/index.astro,Committee page uses legacy name — prefer IRINS numeric ID + rename file
P1,Missing,/assets/images/faculty/mechanical/assoc-2.jpg,public/assets/images/faculty/mechanical/assoc-2.jpg,Image,Raghu,/departments/mechanical/committees/,src/pages/departments/mechanical/committees/index.astro,Committee page uses legacy name — prefer IRINS numeric ID + rename file
P1,Missing,/assets/images/faculty/mechanical/assoc-3.jpg,public/assets/images/faculty/mechanical/assoc-3.jpg,Image,Raghu,/departments/mechanical/committees/,src/pages/departments/mechanical/committees/index.astro,Committee page uses legacy name — prefer IRINS numeric ID + rename file
P1,Missing,/assets/images/faculty/mechanical/bos-1.jpg,public/assets/images/faculty/mechanical/bos-1.jpg,Image,Raghu,/departments/mechanical/committees/,src/pages/departments/mechanical/committees/index.astro,Committee page uses legacy name — prefer IRINS numeric ID + rename file
P1,Missing,/assets/images/faculty/mechanical/bos-2.jpg,public/assets/images/faculty/mechanical/bos-2.jpg,Image,Raghu,/departments/mechanical/committees/,src/pages/departments/mechanical/committees/index.astro,Committee page uses legacy name — prefer IRINS numeric ID + rename file
P1,Missing,/assets/images/faculty/mechanical/bos-3.jpg,public/assets/images/faculty/mechanical/bos-3.jpg,Image,Raghu,/departments/mechanical/committees/,src/pages/departments/mechanical/committees/index.astro,Committee page uses legacy name — prefer IRINS numeric ID + rename file
P1,Missing,/assets/images/faculty/mechanical/hod.jpg,public/assets/images/faculty/mechanical/hod.jpg,Image,Raghu,/departments/mechanical/committees/,src/pages/departments/mechanical/committees/index.astro,Committee page uses legacy name — prefer IRINS numeric ID + rename file
P1,Missing,/assets/images/faculty/mechanical/prof-1.jpg,public/assets/images/faculty/mechanical/prof-1.jpg,Image,Raghu,/departments/mechanical/committees/,src/pages/departments/mechanical/committees/index.astro,Committee page uses legacy name — prefer IRINS numeric ID + rename file
P1,Missing,/assets/images/faculty/mechanical/prof-2.jpg,public/assets/images/faculty/mechanical/prof-2.jpg,Image,Raghu,/departments/mechanical/committees/,src/pages/departments/mechanical/committees/index.astro,Committee page uses legacy name — prefer IRINS numeric ID + rename file
P1,Missing,/assets/images/faculty/mechanical/prof-3.jpg,public/assets/images/faculty/mechanical/prof-3.jpg,Image,Raghu,/departments/mechanical/committees/,src/pages/departments/mechanical/committees/index.astro,Committee page uses legacy name — prefer IRINS numeric ID + rename file
P1,Missing,/assets/images/faculty/mechanical/prof-4.jpg,public/assets/images/faculty/mechanical/prof-4.jpg,Image,Raghu,/departments/mechanical/committees/,src/pages/departments/mechanical/committees/index.astro,Committee page uses legacy name — prefer IRINS numeric ID + rename file
P1,Missing,/assets/images/leadership/PLACEHOLDER.jpg,public/assets/images/leadership/PLACEHOLDER.jpg,Image,Marketing/Admin,/leadership/,src/pages/leadership/index.astro,
P1,Missing,/assets/images/placements/PLACEHOLDER.jpg,public/assets/images/placements/PLACEHOLDER.jpg,Image,Marketing/Admin,/placements-team/,src/pages/placements-team/index.astro,
P1,Missing,/assets/images/transportation/PLACEHOLDER.jpg,public/assets/images/transportation/PLACEHOLDER.jpg,Image,Marketing/Admin,/transportation/,src/pages/transportation/index.astro,
P1,Missing,/assets/images/well-being/PLACEHOLDER.jpg,public/assets/images/well-being/PLACEHOLDER.jpg,Image,Marketing/Admin,/well-being/,src/pages/well-being/index.astro,
P2,Missing,/assets/docs/energy-audit-report.pdf,public/assets/docs/energy-audit-report.pdf,PDF,Admin,/sustainability/,src/pages/sustainability/index.astro,
P2,Missing,/assets/docs/environment-audit-report.pdf,public/assets/docs/environment-audit-report.pdf,PDF,Admin,/sustainability/,src/pages/sustainability/index.astro,
P2,Missing,/assets/docs/fee-structure.pdf,public/assets/docs/fee-structure.pdf,PDF,Admin,/admission-brochure/,src/pages/admission-brochure/index.astro,
P2,Missing,/assets/docs/green-audit-report.pdf,public/assets/docs/green-audit-report.pdf,PDF,Admin,/sustainability/,src/pages/sustainability/index.astro,
P2,Missing,/assets/docs/grievance-form.pdf,public/assets/docs/grievance-form.pdf,PDF,Admin,/code-of-conduct/,src/pages/code-of-conduct/index.astro,
P2,Missing,/assets/docs/scholarships.pdf,public/assets/docs/scholarships.pdf,PDF,Admin,/admission-brochure/,src/pages/admission-brochure/index.astro,
P2,Missing,/assets/docs/sustainability-policy.pdf,public/assets/docs/sustainability-policy.pdf,PDF,Admin,/sustainability/,src/pages/sustainability/index.astro,
P2,Missing,/assets/documents/aids-newsletter-v1-iss1.pdf,public/assets/documents/aids-newsletter-v1-iss1.pdf,PDF,Dept Admin,/departments/aids/newsletter/,src/pages/departments/aids/newsletter/index.astro,
